EPOCH                             DENSITY   TEMPERATURE        VR_RTN        VT_RTN        VN_RTN
dd-mm-yyyy hh:mm:ss.mil.mic         cm^-3            eV          km/s          km/s          km/s
06-09-2022 00:03:41.550.543       2.13473       25.6739       521.441      -49.9643      -9.44633
06-09-2022 00:03:45.550.550       2.53055       60.7878       501.181      -40.6176      -7.40379
06-09-2022 00:03:49.550.557       2.35654       37.9835       520.988      -42.4714      -14.4702
06-09-2022 00:03:53.550.564       2.52805       42.9973       510.894      -32.9766      -14.3376
06-09-2022 00:03:57.550.571       2.48258       41.3747       518.738      -40.2502      -15.0451
06-09-2022 00:04:01.550.578       2.11807       40.3868       490.568      -47.7729      -18.8509
06-09-2022 00:04:05.550.585       2.45189       33.0188       523.117      -42.6024      -2.39459
06-09-2022 00:04:09.550.592       2.01584       27.2773       506.596      -36.0149      -14.1337
06-09-2022 00:04:13.550.599       3.93233       125.519       435.576      -21.0243       116.253
06-09-2022 00:04:17.550.606       2.51145       52.2012       491.899      -30.2181      -13.0896
06-09-2022 00:04:21.550.612       3.61725       123.137       427.992      -13.8929       58.7045
06-09-2022 00:04:25.550.620       2.30551       42.0382       489.864      -25.9885      -17.3990
06-09-2022 00:04:29.550.626       2.52031       59.9666       465.071      -7.98612      -25.5165
06-09-2022 00:04:33.550.633       2.16815       29.8656       500.353      -44.0723      -8.41076
06-09-2022 00:04:37.550.640       2.53506       66.0927       456.044      -14.2012      -21.9044
06-09-2022 00:04:41.550.647       2.24659       38.5613       489.208      -35.4896       1.04060
06-09-2022 00:04:45.550.654       2.04405       29.5479       502.156      -42.0209      -11.0462
06-09-2022 00:04:49.550.661       3.11823       103.713       460.169      -26.7233       76.2827
06-09-2022 00:04:53.550.668       1.85388       21.3927       506.206      -45.9665      -4.09492
06-09-2022 00:04:57.550.675       2.31782       38.7814       506.103      -37.1975      -3.04421
06-09-2022 00:05:01.550.682       2.32425       48.3157       476.706      -25.8155      -7.67563
06-09-2022 00:05:05.550.689       2.86493       73.2677       474.092      -18.0326      -8.10131
06-09-2022 00:05:09.550.696       2.20745       21.1832       511.261      -48.1135     -0.827931
06-09-2022 00:05:13.550.703       3.30917       86.6327       448.645      -3.37808      -29.4596
06-09-2022 00:05:17.550.710       2.35744       44.8239       486.011      -34.7382      -15.8164
06-09-2022 00:05:21.550.717       2.33812       30.3607       513.369      -46.5201      -2.80154
